Date,Transaction_Type,Category,Amount,Counterparty,Payment_Status
2024-08-01,Outflow,Cloud & SaaS,41001.0,Supplier W,Paid
2024-08-01,Outflow,Salaries,52222.0,Supplier T,Paid
2024-08-03,Inflow,Investment,61502.0,Client F,Paid
2024-08-03,Outflow,Salaries,33227.0,Supplier U,Paid
2024-08-03,Outflow,Cloud & SaaS,29771.0,Supplier Z,Paid
2024-08-04,Outflow,Utilities,47986.0,Supplier Z,Paid
2024-08-04,Outflow,Cloud & SaaS,50251.0,Supplier W,Paid
2024-08-05,Inflow,Services,16449.0,Client H,Paid
2024-08-06,Inflow,Services,29373.0,Client B,Paid
2024-08-06,Inflow,Subscription,59036.0,Client A,Paid
2024-08-06,Outflow,Compliance,29512.0,Supplier T,Paid
2024-08-06,Outflow,Vendors,47811.0,Supplier Y,Paid
2024-08-07,Inflow,Sales Revenue,44845.0,Client E,Paid
2024-08-07,Outflow,Utilities,45885.0,Supplier V,Paid
2024-08-08,Inflow,Subscription,77725.0,Client C,Paid
2024-08-08,Inflow,Sales Revenue,35932.0,Client D,Paid
2024-08-08,Outflow,Cloud & SaaS,15420.0,Supplier X,Paid
2024-08-09,Inflow,Sales Revenue,33113.0,Client E,Paid
2024-08-09,Inflow,Subscription,75821.0,Client B,Paid
2024-08-09,Outflow,Utilities,39637.0,Supplier X,Paid
2024-08-10,Outflow,Cloud & SaaS,50774.0,Supplier U,Paid
2024-08-10,Outflow,Marketing,51293.0,Supplier V,Paid
2024-08-12,Inflow,Investment,19782.0,Client B,Paid
2024-08-12,Inflow,Investment,10515.0,Client G,Paid
2024-08-12,Outflow,Cloud & SaaS,41566.0,Supplier T,Paid
2024-08-13,Outflow,Cloud & SaaS,35560.0,Supplier W,Paid
2024-08-13,Outflow,Salaries,36280.0,Supplier X,Paid
2024-08-15,Inflow,Subscription,55810.0,Client G,Paid
2024-08-15,Outflow,Vendors,9355.0,Supplier T,Paid
2024-08-15,Outflow,Cloud & SaaS,39909.0,Supplier W,Paid
2024-08-16,Outflow,Marketing,48720.0,Supplier T,Paid
2024-08-17,Outflow,Compliance,29019.0,Supplier Y,Paid
2024-08-18,Outflow,Vendors,59596.0,Supplier X,Paid
2024-08-19,Outflow,Vendors,8206.0,Supplier Y,Paid
2024-08-19,Outflow,Marketing,55470.0,Supplier W,Paid
2024-08-20,Inflow,Services,48992.0,Client G,Paid
2024-08-21,Inflow,Subscription,38447.0,Client G,Pending
2024-08-21,Outflow,Marketing,14183.0,Supplier X,Paid
2024-08-23,Inflow,Subscription,58773.0,Client F,Paid
2024-08-23,Inflow,Services,73043.0,Client H,Paid
2024-08-23,Outflow,Utilities,32353.0,Supplier W,Paid
2024-08-23,Outflow,Rent,29538.0,Supplier Z,Paid
2024-08-25,Inflow,Subscription,52503.0,Client H,Paid
2024-08-25,Inflow,Sales Revenue,33981.0,Client C,Paid
2024-08-25,Outflow,Compliance,25144.0,Supplier W,Paid
2024-08-26,Inflow,Investment,28610.0,Client H,Pending
2024-08-26,Inflow,Subscription,64512.0,Client F,Paid
2024-08-26,Outflow,Vendors,29714.0,Supplier Y,Paid
2024-08-28,Inflow,Subscription,18930.0,Client F,Paid
2024-08-28,Outflow,Marketing,44688.0,Supplier U,Paid
2024-08-28,Outflow,Cloud & SaaS,36857.0,Supplier Y,Paid
2024-08-29,Inflow,Investment,11366.0,Client D,Paid
2024-08-29,Outflow,Cloud & SaaS,41481.0,Supplier Z,Paid
2024-08-29,Outflow,Salaries,39501.0,Supplier T,Paid
2024-08-30,Outflow,Salaries,39580.0,Supplier U,Paid
2024-08-31,Inflow,Sales Revenue,12912.0,Client D,Paid
2024-08-31,Outflow,Utilities,23142.0,Supplier Y,Paid
2024-08-31,Outflow,Salaries,42273.0,Supplier Y,Paid
2024-09-01,Inflow,Subscription,21941.0,Client H,Paid
2024-09-01,Outflow,Cloud & SaaS,36958.0,Supplier Z,Paid
2024-09-01,Outflow,Utilities,38684.0,Supplier Z,Paid
2024-09-03,Inflow,Subscription,43761.0,Client G,Paid
2024-09-03,Inflow,Subscription,15791.0,Client D,Paid
2024-09-03,Outflow,Cloud & SaaS,31988.0,Supplier V,Paid
2024-09-04,Outflow,Cloud & SaaS,34823.0,Supplier U,Paid
2024-09-05,Outflow,Cloud & SaaS,23236.0,Supplier W,Paid
2024-09-05,Outflow,Cloud & SaaS,51737.0,Supplier Y,Paid
2024-09-06,Outflow,Salaries,50446.0,Supplier V,Paid
2024-09-07,Inflow,Services,31152.0,Client C,Paid
2024-09-08,Inflow,Subscription,18321.0,Client B,Paid
2024-09-08,Outflow,Vendors,45166.0,Supplier V,Paid
2024-09-08,Outflow,Marketing,47275.0,Supplier X,Paid
2024-09-09,Inflow,Sales Revenue,78260.0,Client B,Paid
2024-09-09,Outflow,Cloud & SaaS,12769.0,Supplier W,Paid
2024-09-09,Outflow,Marketing,25400.0,Supplier U,Paid
2024-09-10,Inflow,Subscription,77424.0,Client B,Paid
2024-09-10,Outflow,Marketing,39915.0,Supplier T,Paid
2024-09-10,Outflow,Compliance,33328.0,Supplier Y,Paid
2024-09-11,Inflow,Sales Revenue,22649.0,Client E,Paid
2024-09-11,Inflow,Subscription,30915.0,Client H,Paid
2024-09-11,Outflow,Compliance,13334.0,Supplier X,Paid
2024-09-11,Outflow,Vendors,46173.0,Supplier V,Paid
2024-09-12,Outflow,Cloud & SaaS,11378.0,Supplier W,Paid
2024-09-12,Outflow,Salaries,22376.0,Supplier U,Paid
2024-09-13,Inflow,Subscription,38715.0,Client H,Paid
2024-09-13,Outflow,Vendors,45513.0,Supplier Z,Paid
2024-09-15,Inflow,Sales Revenue,26867.0,Client A,Paid
2024-09-15,Inflow,Investment,68177.0,Client B,Paid
2024-09-15,Outflow,Marketing,14859.0,Supplier T,Paid
2024-09-15,Outflow,Compliance,44595.0,Supplier X,Paid
2024-09-17,Outflow,Marketing,47757.0,Supplier V,Paid
2024-09-17,Outflow,Cloud & SaaS,32461.0,Supplier W,Paid
2024-09-18,Outflow,Rent,5766.0,Supplier Y,Paid
2024-09-18,Outflow,Salaries,20361.0,Supplier X,Paid
2024-09-19,Inflow,Subscription,18528.0,Client E,Paid
2024-09-19,Inflow,Investment,58598.0,Client E,Pending
2024-09-19,Outflow,Compliance,15987.0,Supplier U,Paid
2024-09-19,Outflow,Vendors,6380.0,Supplier X,Paid
2024-09-20,Inflow,Subscription,19174.0,Client A,Paid
2024-09-20,Inflow,Sales Revenue,74929.0,Client D,Paid
2024-09-20,Outflow,Salaries,21552.0,Supplier W,Paid
2024-09-20,Outflow,Utilities,32960.0,Supplier Z,Paid
2024-09-21,Inflow,Investment,30051.0,Client H,Pending
2024-09-21,Inflow,Services,11740.0,Client E,Paid
2024-09-21,Outflow,Vendors,39868.0,Supplier X,Paid
2024-09-22,Inflow,Subscription,62417.0,Client A,Paid
2024-09-22,Inflow,Services,21617.0,Client B,Paid
2024-09-23,Inflow,Subscription,40245.0,Client F,Paid
2024-09-23,Inflow,Sales Revenue,69288.0,Client F,Paid
2024-09-23,Outflow,Vendors,20836.0,Supplier Y,Paid
2024-09-23,Outflow,Cloud & SaaS,48824.0,Supplier Y,Paid
2024-09-24,Inflow,Services,63560.0,Client H,Paid
2024-09-24,Outflow,Utilities,46434.0,Supplier Z,Paid
2024-09-25,Inflow,Investment,36192.0,Client D,Paid
2024-09-26,Inflow,Subscription,70724.0,Client D,Paid
2024-09-26,Outflow,Rent,18631.0,Supplier Y,Paid
2024-09-26,Outflow,Vendors,59701.0,Supplier U,Paid
2024-09-27,Inflow,Investment,17369.0,Client A,Pending
2024-09-27,Inflow,Subscription,51610.0,Client B,Paid
2024-09-27,Outflow,Marketing,50356.0,Supplier Z,Paid
2024-09-27,Outflow,Rent,55784.0,Supplier V,Paid
2024-09-28,Inflow,Sales Revenue,21587.0,Client C,Paid
2024-09-28,Inflow,Subscription,20752.0,Client A,Paid
2024-09-28,Outflow,Utilities,6163.0,Supplier X,Paid
2024-09-30,Inflow,Services,40048.0,Client E,Paid
2024-09-30,Inflow,Subscription,66217.0,Client G,Pending
2024-10-01,Inflow,Investment,61520.0,Client G,Paid
2024-10-01,Inflow,Sales Revenue,47555.0,Client D,Paid
2024-10-01,Outflow,Rent,53901.0,Supplier Y,Paid
2024-10-02,Outflow,Compliance,36417.0,Supplier Z,Paid
2024-10-04,Outflow,Cloud & SaaS,55919.0,Supplier V,Paid
2024-10-06,Inflow,Subscription,13637.0,Client H,Paid
2024-10-06,Inflow,Investment,16937.0,Client G,Paid
2024-10-07,Inflow,Subscription,78569.0,Client G,Paid
2024-10-07,Inflow,Services,64563.0,Client F,Paid
2024-10-08,Inflow,Investment,19418.0,Client E,Pending
2024-10-08,Inflow,Investment,45995.0,Client G,Paid
2024-10-08,Outflow,Vendors,30453.0,Supplier Z,Paid
2024-10-08,Outflow,Utilities,42739.0,Supplier Y,Paid
2024-10-10,Outflow,Rent,31283.0,Supplier Z,Paid
2024-10-11,Inflow,Subscription,33676.0,Client E,Pending
2024-10-12,Inflow,Subscription,40372.0,Client B,Paid
2024-10-12,Inflow,Subscription,26481.0,Client G,Paid
2024-10-13,Inflow,Subscription,69793.0,Client G,Pending
2024-10-13,Inflow,Services,42234.0,Client H,Paid
2024-10-13,Outflow,Utilities,31908.0,Supplier Y,Paid
2024-10-13,Outflow,Cloud & SaaS,49241.0,Supplier W,Paid
2024-10-14,Inflow,Subscription,15072.0,Client B,Paid
2024-10-14,Inflow,Sales Revenue,12460.0,Client E,Paid
2024-10-14,Outflow,Compliance,32681.0,Supplier V,Paid
2024-10-15,Outflow,Utilities,38790.0,Supplier X,Paid
2024-10-15,Outflow,Vendors,39202.0,Supplier T,Paid
2024-10-16,Outflow,Vendors,56476.0,Supplier X,Paid
2024-10-17,Inflow,Investment,21857.0,Client D,Paid
2024-10-17,Inflow,Investment,41163.0,Client H,Paid
2024-10-17,Outflow,Compliance,56225.0,Supplier X,Paid
2024-10-17,Outflow,Vendors,18936.0,Supplier T,Paid
2024-10-19,Inflow,Sales Revenue,21740.0,Client B,Paid
2024-10-19,Outflow,Utilities,5431.0,Supplier W,Paid
2024-10-20,Inflow,Services,46584.0,Client G,Paid
2024-10-20,Outflow,Cloud & SaaS,48958.0,Supplier W,Paid
2024-10-20,Outflow,Utilities,17963.0,Supplier X,Paid
2024-10-21,Inflow,Investment,18381.0,Client A,Paid
2024-10-21,Inflow,Subscription,16139.0,Client F,Paid
2024-10-21,Outflow,Compliance,28023.0,Supplier U,Paid
2024-10-21,Outflow,Utilities,16454.0,Supplier U,Paid
2024-10-22,Inflow,Investment,72885.0,Client G,Paid
2024-10-22,Outflow,Vendors,19879.0,Supplier Z,Paid
2024-10-22,Outflow,Marketing,34270.0,Supplier Z,Paid
2024-10-23,Outflow,Salaries,13128.0,Supplier V,Paid
2024-10-23,Outflow,Cloud & SaaS,35525.0,Supplier U,Paid
2024-10-24,Inflow,Sales Revenue,61077.0,Client E,Paid
2024-10-25,Inflow,Services,64621.0,Client D,Paid
2024-10-25,Inflow,Services,36345.0,Client H,Paid
2024-10-25,Outflow,Vendors,44476.0,Supplier V,Paid
2024-10-26,Inflow,Investment,28967.0,Client H,Paid
2024-10-28,Inflow,Services,12266.0,Client E,Paid
2024-10-28,Outflow,Cloud & SaaS,10262.0,Supplier U,Paid
2024-10-29,Inflow,Investment,30675.0,Client D,Pending
2024-10-29,Inflow,Sales Revenue,40961.0,Client C,Paid
2024-10-29,Outflow,Vendors,55514.0,Supplier U,Paid
2024-10-30,Inflow,Investment,37364.0,Client A,Paid
2024-10-31,Inflow,Investment,64459.0,Client A,Paid
2024-10-31,Inflow,Investment,56602.0,Client A,Paid
2024-11-01,Outflow,Salaries,39282.0,Supplier T,Paid
2024-11-02,Inflow,Sales Revenue,12029.0,Client B,Pending
2024-11-02,Inflow,Investment,20011.0,Client G,Paid
2024-11-02,Outflow,Salaries,15901.0,Supplier V,Paid
2024-11-02,Outflow,Utilities,20889.0,Supplier V,Paid
2024-11-05,Outflow,Compliance,38325.0,Supplier U,Paid
2024-11-05,Outflow,Rent,57975.0,Supplier Z,Paid
2024-11-06,Inflow,Services,14006.0,Client G,Paid
